"Data","PM10"
"01/01/2022","6"
"01/02/2022","19"
"01/03/2022","19"
"01/04/2022","12"
"01/05/2022","11"
"01/06/2022","16"
"01/07/2022","16"
"01/08/2022","7"
"01/09/2022","11"
"01/10/2022","9"
"01/11/2022","6"
"01/12/2022","6"
"01/13/2022","3"
"01/14/2022","11"
"01/15/2022","4"
"01/16/2022","4"
"01/17/2022","7"
"01/18/2022","4"
"01/19/2022","1"
"01/20/2022","1"
"01/21/2022","3"
"01/22/2022","6"
"01/23/2022","3"
"01/24/2022","3"
"01/25/2022","3"
"01/26/2022","1"
"01/27/2022","0"
"01/28/2022","0"
"01/29/2022","4"
"01/30/2022","6"
"01/31/2022","7"
"02/01/2022","1"
"02/02/2022","5"
"02/03/2022","3"
"02/04/2022","3"
"02/05/2022","0"
"02/06/2022","5"
"02/07/2022","2"
"02/08/2022","3"
"02/09/2022","6"
"02/10/2022","4"
"02/11/2022","1"
"02/12/2022","4"
"02/13/2022","6"
"02/14/2022","5"
"02/15/2022","0"
"02/16/2022","3"
"02/17/2022","6"
"02/18/2022","3"
"02/19/2022","7"
"02/20/2022","5"
"02/21/2022","1"
"02/22/2022","5"
"02/23/2022","1"
"02/24/2022","4"
"02/25/2022","7"
"02/26/2022","11"
"02/27/2022","10"
"02/28/2022","26"
"03/01/2022","11"
"03/02/2022","17"
"03/03/2022","24"
"03/04/2022","12"
"03/05/2022","1"
"03/06/2022","4"
"03/07/2022","8"
"03/08/2022","6"
"03/09/2022","2"
"03/10/2022","1"
"03/11/2022","2"
"03/12/2022","1"
"03/13/2022","7"
"03/14/2022","101"
"03/15/2022","42"
"03/16/2022","9"
"03/17/2022","17"
"03/18/2022","14"
"03/19/2022","18"
"03/20/2022","9"
"03/21/2022","42"
"03/22/2022","18"
"03/23/2022","28"
"03/24/2022","8"
"03/25/2022","14"
"03/26/2022","36"
"03/27/2022","26"
"03/28/2022","57"
"03/29/2022","75"
"03/30/2022","86"
"03/31/2022","76"
"04/01/2022","103"
"04/02/2022","58"
"04/03/2022","43"
"04/04/2022","37"
"04/05/2022","29"
"04/06/2022","64"
"04/07/2022","55"
"04/08/2022","24"
"04/09/2022","20"
"04/10/2022","30"
"04/11/2022","79"
"04/12/2022","91"
"04/13/2022","77"
"04/14/2022","97"
"04/15/2022","64"
"04/16/2022","40"
"04/17/2022","47"
"04/18/2022","53"
"04/19/2022","70"
"04/20/2022","79"
"04/21/2022","40"
"04/23/2022","32"
"04/24/2022","24"
"04/25/2022","28"
"04/26/2022","32"
"04/27/2022","51"
"04/28/2022","31"
"05/04/2022","39"
"05/05/2022","39"
"05/06/2022","33"
"05/07/2022","29"
"05/08/2022","37"
"05/09/2022","33"
"05/10/2022","17"
"05/11/2022","32"
"05/12/2022","22"
"05/13/2022","9"
"05/14/2022","9"
"05/15/2022","18"
"05/16/2022","26"
"05/17/2022","27"
"05/18/2022","33"
"05/19/2022","31"
"05/20/2022","31"
"05/21/2022","23"
"05/22/2022","17"
"05/23/2022","31"
"05/24/2022","17"
"05/25/2022","20"
"05/26/2022","20"
"05/27/2022","21"
"05/28/2022","21"
"05/29/2022","20"
"05/30/2022","18"
"05/31/2022","23"
"06/01/2022","24"
"06/02/2022","28"
"06/03/2022","31"
"06/04/2022","28"
"06/05/2022","27"
"06/06/2022","25"
"06/07/2022","15"
"06/08/2022","18"
"06/09/2022","23"
"06/10/2022","15"
"06/11/2022","11"
"06/12/2022","24"
"06/13/2022","43"
"06/14/2022","22"
"06/15/2022","20"
"06/16/2022","18"
"06/17/2022","16"
"06/18/2022","9"
"06/19/2022","6"
"06/20/2022","15"
"06/21/2022","21"
"06/22/2022","27"
"06/23/2022","30"
"06/24/2022","58"
"06/25/2022","30"
"06/26/2022","11"
"06/27/2022","17"
"06/28/2022","19"
"06/29/2022","54"
"06/30/2022","32"
"07/01/2022","13"
"07/02/2022","11"
"07/03/2022","9"
"07/04/2022","8"
"07/05/2022","19"
"07/06/2022","21"
"07/07/2022","7"
"07/08/2022","13"
"07/09/2022","14"
"07/10/2022","9"
"07/11/2022","24"
"07/12/2022","18"
"07/13/2022","17"
"07/14/2022","10"
"07/15/2022","28"
"07/16/2022","3"
"07/17/2022","3"
"07/18/2022","13"
"07/19/2022","3"
"07/20/2022","21"
"07/21/2022","10"
"07/22/2022","9"
"07/23/2022","11"
"07/24/2022","6"
"07/25/2022","12"
